"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","接口自动化框架","0","Smoke 通畅性验证","1","0","POST 不重试验证","0"
"0","接口自动化框架","0","Smoke 通畅性验证","5","0","带参数请求","0"
"0","接口自动化框架","0","Smoke 通畅性验证","1","0","POST 请求","0"
"0","接口自动化框架","0","Smoke 通畅性验证","3","0","HTTP 方法覆盖","0"
"0","示例模块","4","基础功能","0","0","列表查询","0"
"0","接口自动化框架","0","Smoke 通畅性验证","1","0","基础连通性","0"
"0","接口自动化框架","0","Smoke 通畅性验证","1","0","超时验证","0"
"0","接口自动化框架","0","Smoke 通畅性验证","1","0","重试机制验证","0"
"0","示例模块","1","基础功能","0","0","创建资源","0"
"0","接口自动化框架","0","Smoke 通畅性验证","1","0","边界值 — 空 Body POST","0"
"0","示例模块","1","基础功能","0","0","健康检查","0"
"0","接口自动化框架","0","Smoke 通畅性验证","1","0","边界值 — 大 Payload","0"
"0","接口自动化框架","0","Smoke 通畅性验证","1","0","响应头验证","0"
